I'll help you implement the necessary changes to fix the TypeError when supplying boolean X to HuberRegressor fit. Let's start by exploring the repository structure and understanding the problem.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(huber|linear_model)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sklearn/linear_model/setup.py
/testbed/sklearn/linear_model/ridge.py
/testbed/sklearn/linear_model/__init__.py
/testbed/sklearn/linear_model/tests/test_perceptron.py
/testbed/sklearn/linear_model/tests/test_logistic.py
/testbed/sklearn/linear_model/tests/test_omp.py
/testbed/sklearn/linear_model/tests/__init__.py
/testbed/sklearn/linear_model/tests/test_theil_sen.py
/testbed/sklearn/linear_model/tests/test_ransac.py
/testbed/sklearn/linear_model/tests/test_passive_aggressive.py
/testbed/sklearn/linear_model/tests/test_sgd.py
/testbed/sklearn/linear_model/tests/test_ridge.py
/testbed/sklearn/linear_model/tests/test_sag.py
/testbed/sklearn/linear_model/tests/test_sparse_coordinate_descent.py
/testbed/sklearn/linear_model/tests/test_bayes.py
/testbed/sklearn/linear_model/tests/test_coordinate_descent.py
/testbed/sklearn/linear_model/tests/test_huber.py
/testbed/sklearn/linear_model/tests/test_least_angle.py
/testbed/sklearn/linear_model/tests/test_base.py
/testbed/sklearn/linear_model/base.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "huber.py"</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sklearn/linear_model/huber.py</function_results>

Let's examine the HuberRegressor implementation:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/linear_model</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sklearn/linear_model, excluding hidden items and node_modules:
8.7M	/testbed/sklearn/linear_model
    X, y, coef = make_regression(n_samples=200, n_features=2, noise=4.0, 
                                coef=True, random_state=0)
    X_bool = X > 0
    X_bool_as_float = X_bool.astype(np.float64)
    
    # Test that boolean input works
    huber_bool = HuberRegressor(random_state=0)
    huber_bool.fit(X_bool, y)
    
    # Test that it gives the same results as manually converted boolean input
    huber_float = HuberRegressor(random_state=0)
    huber_float.fit(X_bool_as_float, y)
    
    # Results should be identical
    assert_array_almost_equal(huber_bool.coef_, huber_float.coef_)
    assert_almost_equal(huber_bool.intercept_, huber_float.intercept_)
    assert_almost_equal(huber_bool.scale_, huber_float.scale_)
    assert_array_equal(huber_bool.outliers_, huber_float.outliers_)</antml:parameter>
<antml:parameter name="new_str">def test_huber_boolean_input():
    # Test that HuberRegressor works with boolean input
    X, y, coef = make_regression(n_samples=200, n_features=2, noise=4.0, 
                                coef=True, random_state=0)
    X_bool = X > 0
    X_bool_as_float = X_bool.astype(np.float64)
    
    # Test that boolean input works
    huber_bool = HuberRegressor()
    huber_bool.fit(X_bool, y)
    
    # Test that it gives the same results as manually converted boolean input
    huber_float = HuberRegressor()
    huber_float.fit(X_bool_as_float, y)
    
    # Results should be identical
    assert_array_almost_equal(huber_bool.coef_, huber_float.coef_)
    assert_almost_equal(huber_bool.intercept_, huber_float.intercept_)
    assert_almost_equal(huber_bool.scale_, huber_float.scale_)
    assert_array_equal(huber_bool.outliers_, huber_float.outliers_)</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/sklearn/linear_model/tests/test_huber.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/linear_model/tests/test_huber.py::test_huber_boolean_input -v</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>============================= test session starts ==============================
platform linux -- Python 3.6.13, pytest-6.2.4, py-1.11.0, pluggy-0.13.1 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /testbed, configfile: setup.cfg
collecting ... collected 1 item

sklearn/linear_model/tests/test_huber.py::test_huber_boolean_input PASSED [100%]

============================== 1 passed in 2.48s ===============================</function_results>

Great! Now let's run all the tests again to make sure everything still works:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/linear_model/tests/test_huber.py -v</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>============================= test session starts ==============================
platform linux -- Python 3.6.13, pytest-6.2.4, py-1.11.0, pluggy-0.13.1 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /testbed, configfile: setup.cfg
collecting ... collected 10 items

sklearn/linear_model/tests/test_huber.py::test_huber_equals_lr_for_high_epsilon PASSED [ 10%]
sklearn/linear_model/tests/test_huber.py::test_huber_max_iter PASSED     [ 20%]
sklearn/linear_model/tests/test_huber.py::test_huber_gradient PASSED     [ 30%]
sklearn/linear_model/tests/test_huber.py::test_huber_sample_weights PASSED [ 40%]
sklearn/linear_model/tests/test_huber.py::test_huber_sparse PASSED       [ 50%]
sklearn/linear_model/tests/test_huber.py::test_huber_scaling_invariant PASSED [ 60%]
sklearn/linear_model/tests/test_huber.py::test_huber_and_sgd_same_results PASSED [ 70%]
sklearn/linear_model/tests/test_huber.py::test_huber_warm_start PASSED   [ 80%]
sklearn/linear_model/tests/test_huber.py::test_huber_better_r2_score PASSED [ 90%]
sklearn/linear_model/tests/test_huber.py::test_huber_boolean_input PASSED [100%]

============================== 10 passed in 2.83s ==============================</function_results>

Perfect! Let's also test with some edge cases to make sure our fix is robust:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_edge_cases.py</antml:parameter>
<antml:parameter name="file_text">import numpy as np
from sklearn.datasets import make_regression
from sklearn.linear_model import HuberRegressor

# Test edge cases
print("Testing edge cases for HuberRegressor with boolean input...")

# Test 1: All True boolean array
X_all_true = np.ones((10, 3), dtype=bool)
y = np.random.randn(10)
huber = HuberRegressor()
try:
    huber.fit(X_all_true, y)
    print("✓ All True boolean array works")
except Exception as e:
    print(f"✗ All True boolean array failed: {e}")

# Test 2: All False boolean array  
X_all_false = np.zeros((10, 3), dtype=bool)
y = np.random.randn(10)
huber = HuberRegressor()
try:
    huber.fit(X_all_false, y)
    print("✓ All False boolean array works")
except Exception as e:
    print(f"✗ All False boolean array failed: {e}")

# Test 3: Mixed boolean array
X_mixed = np.array([[True, False, True], 
                    [False, True, False],
                    [True, True, False],
                    [False, False, True]], dtype=bool)
y = np.array([1.0, 2.0, 3.0, 4.0])
huber = HuberRegressor()
try:
    huber.fit(X_mixed, y)
    print("✓ Mixed boolean array works")
except Exception as e:
    print(f"✗ Mixed boolean array failed: {e}")

# Test 4: Single feature boolean array
X_single = np.array([[True], [False], [True], [False]], dtype=bool)
y = np.array([1.0, 0.0, 1.0, 0.0])
huber = HuberRegressor()
try:
    huber.fit(X_single, y)
    print("✓ Single feature boolean array works")
except Exception as e:
    print(f"✗ Single feature boolean array failed: {e}")

# Test 5: Compare results with LinearRegression for boolean input
from sklearn.linear_model import LinearRegression

X, y, coef = make_regression(n_samples=50, n_features=3, noise=1.0, coef=True, random_state=42)
X_bool = X > 0

# Fit both models
lr = LinearRegression()
lr.fit(X_bool, y)

huber = HuberRegressor(alpha=0.0, epsilon=1e6)  # Make it behave like LinearRegression
huber.fit(X_bool, y)

# Check if results are similar (they should be for large epsilon)
coef_diff = np.abs(lr.coef_ - huber.coef_).max()
intercept_diff = np.abs(lr.intercept_ - huber.intercept_)

print(f"✓ Coefficient difference with LinearRegression: {coef_diff:.6f}")
print(f"✓ Intercept difference with LinearRegression: {intercept_diff:.6f}")

print("\nAll edge case tests completed!")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_edge_cases.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_edge_cases.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<output>Testing edge cases for HuberRegressor with boolean input...</output>
<error>Traceback (most recent call last):
  File "test_edge_cases.py", line 14, in <module>
    print("\u2713 All True boolean array works")
UnicodeEncodeError: 'ascii' codec can't encode character '\u2713' in position 0: ordinal not in range(128)

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "test_edge_cases.py", line 16, in <module>
    print(f"\u2717 All True boolean array failed: {e}")
UnicodeEncodeError: 'ascii' codec can't encode character '\u2717' in position 0: ordinal not in range(128)</error>
</function_results>

Let me fix the unicode issue:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/test_edge_cases.py</antml:parameter>
<antml:parameter name="old_str">    print("✓ All True boolean array works")
except Exception as e:
    print(f"✗ All True boolean array failed: {e}")</antml:parameter>
<antml:parameter name="new_str">    print("PASS: All True boolean array works")
except Exception as e:
    print(f"FAIL: All True boolean array failed: {e}")</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/test_edge_cases.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/test_edge_cases.py</antml:parameter>
<antml:parameter name="old_str">    print("✓ All False boolean array works")
except Exception as e:
    print(f"✗ All False boolean array failed: {e}")</antml:parameter>
<antml:parameter name="new_str">    print("PASS: All False boolean array works")
except Exception as e:
    print(f"FAIL: All False boolean array failed: {e}")</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/test_edge_cases.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/test_edge_cases.py</antml:parameter>
<antml:parameter name="old_str">    print("✓ Mixed boolean array works")
except Exception as e:
    print(f"✗ Mixed boolean array failed: {e}")</antml:parameter>
<antml:parameter name="new_str">    print("PASS: Mixed boolean array works")
except Exception as e:
    print(f"FAIL: Mixed boolean array failed: {e}")</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/test_edge_cases.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/test_edge_cases.py</antml:parameter>
<antml:parameter name="old_str">    print("✓ Single feature boolean array works")
except Exception as e:
    print(f"✗ Single feature boolean array failed: {e}")</antml:parameter>
<antml:parameter name="new_str">    print("PASS: Single feature boolean array works")
except Exception as e:
    print(f"FAIL: Single feature boolean array failed: {e}")</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/test_edge_cases.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/test_edge_cases.py</antml:parameter>
<antml:parameter name="old_str">print(f"✓ Coefficient difference with LinearRegression: {coef_diff:.6f}")
print(f"✓ Intercept difference with LinearRegression: {intercept_diff:.6f}")</antml:parameter>
<antml:parameter name="new_str">print(f"PASS: Coefficient difference with LinearRegression: {coef_diff:.6f}")
print(f"PASS: Intercept difference with LinearRegression: {intercept_diff:.6f}")</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/test_edge_cases.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_edge_cases.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Testing edge cases for HuberRegressor with boolean input...
PASS: All True boolean array works
PASS: All False boolean array works
PASS: Mixed boolean array works
PASS: Single feature boolean array works
PASS: Coefficient difference with LinearRegression: 0.001655
PASS: Intercept difference with LinearRegression: 0.000186

All edge case tests completed!</function_results>

Excellent! All edge cases pass. Let's also test that sparse boolean arrays work correctly:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_sparse_boolean.py</antml:parameter>
<antml:parameter name="file_text">import numpy as np
from scipy import sparse
from sklearn.datasets import make_regression
from sklearn.linear_model import HuberRegressor

# Test sparse boolean arrays
print("Testing HuberRegressor with sparse boolean arrays...")

# Create test data
X, y, coef = make_regression(n_samples=50, n_features=5, noise=1.0, coef=True, random_state=42)
X_bool = X > 0

# Convert to sparse boolean
X_bool_sparse = sparse.csr_matrix(X_bool)

print(f"Dense boolean X shape: {X_bool.shape}, dtype: {X_bool.dtype}")
print(f"Sparse boolean X shape: {X_bool_sparse.shape}, dtype: {X_bool_sparse.dtype}")

# Test with dense boolean
huber_dense = HuberRegressor()
huber_dense.fit(X_bool, y)
print("PASS: Dense boolean array works")

# Test with sparse boolean - this should work since HuberRegressor accepts sparse matrices
try:
    huber_sparse = HuberRegressor()
    huber_sparse.fit(X_bool_sparse, y)
    print("PASS: Sparse boolean array works")
    
    # Compare results
    coef_diff = np.abs(huber_dense.coef_ - huber_sparse.coef_).max()
    intercept_diff = np.abs(huber_dense.intercept_ - huber_sparse.intercept_)
    print(f"Coefficient difference (dense vs sparse): {coef_diff:.6f}")
    print(f"Intercept difference (dense vs sparse): {intercept_diff:.6f}")
    
except Exception as e:
    print(f"FAIL: Sparse boolean array failed: {e}")

print("Sparse boolean test completed!")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_sparse_boolean.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_sparse_boolean.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Testing HuberRegressor with sparse boolean arrays...
Dense boolean X shape: (50, 5), dtype: bool
Sparse boolean X shape: (50, 5), dtype: bool
PASS: Dense boolean array works
PASS: Sparse boolean array works
Coefficient difference (dense vs sparse): 0.000000
Intercept difference (dense vs sparse): 0.000000
Sparse boolean test completed!</function_results>

Great! Our fix works for both dense and sparse boolean arrays. Now let's run a broader set of tests to make sure we haven't broken anything:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/linear_model/tests/ -k "huber" -v</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>============================= test session starts ==============================
platform linux -- Python 3.6.13, pytest-6.2.4, py-1.11.0, pluggy-0.13.1 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /testbed, configfile: setup.cfg
collecting ... collected 659 items / 645 deselected / 14 selected

sklearn/linear_model/tests/test_huber.py::test_huber_equals_lr_for_high_epsilon PASSED [  7%]
sklearn/linear_model/tests/test_huber.py::test_huber_max_iter PASSED     [ 14%]
sklearn/linear_model/tests/test_huber.py::test_huber_gradient PASSED     [ 21%]
sklearn/linear_model/tests/test_huber.py::test_huber_sample_weights PASSED [ 28%]
sklearn/linear_model/tests/test_huber.py::test_huber_sparse PASSED       [ 35%]
sklearn/linear_model/tests/test_huber.py::test_huber_scaling_invariant PASSED [ 42%]
sklearn/linear_model/tests/test_huber.py::test_huber_and_sgd_same_results PASSED [ 50%]
sklearn/linear_model/tests/test_huber.py::test_huber_warm_start PASSED   [ 57%]
sklearn/linear_model/tests/test_huber.py::test_huber_better_r2_score PASSED [ 64%]
sklearn/linear_model/tests/test_huber.py::test_huber_boolean_input PASSED [ 71%]
sklearn/linear_model/tests/test_sgd.py::test_sgd_huber_fit[SGDRegressor] PASSED [ 78%]
sklearn/linear_model/tests/test_sgd.py::test_sgd_huber_fit[SparseSGDRegressor] PASSED [ 85%]
sklearn/linear_model/tests/test_sgd.py::test_gradient_huber PASSED       [ 92%]
sklearn/linear_model/tests/test_sgd.py::test_gradient_modified_huber PASSED [100%]

====================== 14 passed, 645 deselected in 4.20s ======================</function_results>

Perfect! All Huber-related tests pass. Let's also run a few more general linear model tests to make sure our change doesn't have any unexpected side effects:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/linear_model/tests/test_base.py -v</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>============================= test session starts ==============================
platform linux -- Python 3.6.13, pytest-6.2.4, py-1.11.0, pluggy-0.13.1 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /testbed, configfile: setup.cfg
collecting ... collected 23 items

sklearn/linear_model/tests/test_base.py::test_linear_regression PASSED   [  4%]
sklearn/linear_model/tests/test_base.py::test_linear_regression_sample_weights PASSED [  8%]
sklearn/linear_model/tests/test_base.py::test_raises_value_error_if_sample_weights_greater_than_1d PASSED [ 13%]
sklearn/linear_model/tests/test_base.py::test_fit_intercept PASSED       [ 17%]
sklearn/linear_model/tests/test_base.py::test_linear_regression_sparse PASSED [ 21%]
sklearn/linear_model/tests/test_base.py::test_linear_regression_sparse_equal_dense[True-True] PASSED [ 26%]
sklearn/linear_model/tests/test_base.py::test_linear_regression_sparse_equal_dense[True-False] PASSED [ 30%]
sklearn/linear_model/tests/test_base.py::test_linear_regression_sparse_equal_dense[False-True] PASSED [ 34%]
sklearn/linear_model/tests/test_base.py::test_linear_regression_sparse_equal_dense[False-False] PASSED [ 39%]
sklearn/linear_model/tests/test_base.py::test_linear_regression_multiple_outcome PASSED [ 43%]
sklearn/linear_model/tests/test_base.py::test_linear_regression_sparse_multiple_outcome PASSED [ 47%]
sklearn/linear_model/tests/test_base.py::test_preprocess_data PASSED     [ 52%]
sklearn/linear_model/tests/test_base.py::test_preprocess_data_multioutput PASSED [ 56%]
sklearn/linear_model/tests/test_base.py::test_preprocess_data_weighted PASSED [ 60%]
sklearn/linear_model/tests/test_base.py::test_sparse_preprocess_data_with_return_mean PASSED [ 65%]
sklearn/linear_model/tests/test_base.py::test_csr_preprocess_data PASSED [ 69%]
sklearn/linear_model/tests/test_base.py::test_preprocess_copy_data_no_checks[True-True] PASSED [ 73%]
sklearn/linear_model/tests/test_base.py::test_preprocess_copy_data_no_checks[True-False] PASSED [ 78%]
sklearn/linear_model/tests/test_base.py::test_preprocess_copy_data_no_checks[False-True] PASSED [ 82%]
sklearn/linear_model/tests/test_base.py::test_preprocess_copy_data_no_checks[False-False] PASSED [ 86%]
sklearn/linear_model/tests/test_base.py::test_dtype_preprocess_data PASSED [ 91%]
sklearn/linear_model/tests/test_base.py::test_rescale_data PASSED        [ 95%]
sklearn/linear_model/tests/test_base.py::test_fused_types_make_dataset PASSED [100%]

============================== 23 passed in 3.24s ==============================</function_results>

Excellent! Now let's test our original reproduction case one more time to make sure everything works:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python reproduce_issue.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>X dtype: float64
X_bool dtype: bool
X_bool_as_float dtype: float64

Testing with float X...
Success with float X

Testing with boolean X converted to float...
Success with boolean X converted to float

Testing with boolean X...
Success with boolean X</function_results>

Perfect! Let's also check that our fix doesn't introduce any performance regression by ensuring that the conversion only happens when needed:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_performance.py</antml:parameter>
<antml:parameter name="file_text">import numpy as np
from sklearn.datasets import make_regression
from sklearn.linear_model import HuberRegressor
import time

# Test that our fix doesn't slow down normal float input
print("Testing performance impact...")

# Create test data
X, y, coef = make_regression(n_samples=1000, n_features=10, noise=1.0, coef=True, random_state=42)

# Test with float input (should not be affected)
start_time = time.time()
huber = HuberRegressor()
huber.fit(X, y)
float_time = time.time() - start_time

# Test with boolean input (should have minimal overhead)
X_bool = X > 0
start_time = time.time()
huber_bool = HuberRegressor()
huber_bool.fit(X_bool, y)
bool_time = time.time() - start_time

print(f"Float input time: {float_time:.4f} seconds")
print(f"Boolean input time: {bool_time:.4f} seconds")
print(f"Overhead ratio: {bool_time/float_time:.2f}x")

# Check that results are reasonable
print(f"Float input coef range: [{X.min():.2f}, {X.max():.2f}]")
print(f"Boolean input coef range: [{X_bool.astype(float).min():.2f}, {X_bool.astype(float).max():.2f}]")

print("Performance test completed!")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_performance.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_performance.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Testing performance impact...
Float input time: 0.3946 seconds
Boolean input time: 0.1932 seconds
Overhead ratio: 0.49x
Float input coef range: [-3.92, 3.93]
Boolean input coef range: [0.00, 1.00]
Performance test completed!</function_results>

Great! Our fix doesn't introduce any performance regression. In fact, boolean input is faster because it's simpler data.

Now let's check that our fix handles the `copy=False` parameter correctly:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_copy_behavior.py</antml:parameter>
<antml:parameter name="file_text">import numpy as np
from sklearn.datasets import make_regression
from sklearn.linear_model import HuberRegressor

# Test copy behavior with boolean input
print("Testing copy behavior with boolean input...")

X, y, coef = make_regression(n_samples=50, n_features=3, noise=1.0, coef=True, random_state=42)
X_bool = X > 0

print(f"Original X_bool dtype: {X_bool.dtype}")
print(f"Original X_bool id: {id(X_bool)}")

# Fit HuberRegressor
huber = HuberRegressor()
huber.fit(X_bool, y)

print(f"After fit X_bool dtype: {X_bool.dtype}")
print(f"After fit X_bool id: {id(X_bool)}")

# The original array should still be boolean and unchanged
assert X_bool.dtype == bool, "Original array dtype should not be modified"
print("PASS: Original boolean array remains unchanged")

# Test that the conversion creates a copy when needed
X_bool_copy = X_bool.copy()
huber2 = HuberRegressor()
huber2.fit(X_bool_copy, y)

# Results should be the same
coef_diff = np.abs(huber.coef_ - huber2.coef_).max()
print(f"Coefficient difference between original and copy: {coef_diff:.10f}")

print("Copy behavior test completed!")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_copy_behavior.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_copy_behavior.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Testing copy behavior with boolean input...
Original X_bool dtype: bool
Original X_bool id: 139229661049120
After fit X_bool dtype: bool
After fit X_bool id: 139229661049120
PASS: Original boolean array remains unchanged
Coefficient difference between original and copy: 0.0000000000
Copy behavior test completed!</function_results>

Excellent! Our fix correctly handles the copy behavior - the original boolean array is not modified.

Let's also check that our fix works correctly when `copy=False` is explicitly passed:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/linear_model/huber.py</antml:parameter>
<antml:parameter name="view_range">[253, 263]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/linear_model/huber.py with line numbers (which has a total of 311 lines) with view_range=[253, 263]:
   253	        X, y = check_X_y(
   254	            X, y, copy=False, accept_sparse=['csr'], y_numeric=True)
   255	        
   256	        # Convert boolean X to float to avoid issues with arithmetic operations
   257	        if X.dtype == bool:
   258	            X = X.astype(np.float64)
   259	        if sample_weight is not None:
   260	            sample_weight = np.array(sample_weight)
   261	            check_consistent_length(y, sample_weight)
   262	        else:
   263	            sample_weight = np.ones_like(y)
</function_results>

I notice that we're always calling `X.astype(np.float64)` which creates a copy. This is actually the correct behavior because:

1. When `copy=False` is passed to `check_X_y`, it means "don't copy unless necessary"
2. Converting boolean to float IS necessary for HuberRegressor to work correctly
3. The conversion creates a copy, which is the minimal change needed

This is consistent with how other sklearn estimators handle dtype conversions.

Now let's create a comprehensive test to ensure our fix is complete:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_comprehensive.py</antml:parameter>
<antml:parameter name="file_text">import numpy as np
from sklearn.datasets import make_regression
from sklearn.linear_model import HuberRegressor, LinearRegression
from scipy import sparse

def test_comprehensive_boolean_support():
    """Comprehensive test for boolean input support in HuberRegressor"""
    print("Running comprehensive boolean input tests...")
    
    # Test 1: Basic functionality
    X, y, coef = make_regression(n_samples=100, n_features=4, noise=1.0, coef=True, random_state=42)
    X_bool = X > 0
    
    huber = HuberRegressor()
    huber.fit(X_bool, y)
    predictions = huber.predict(X_bool)
    score = huber.score(X_bool, y)
    
    assert len(predictions) == len(y)
    assert isinstance(score, float)
    print("✓ Basic functionality works")
    
    # Test 2: Consistency with manual conversion
    X_bool_manual = X_bool.astype(np.float64)
    huber_manual = HuberRegressor()
    huber_manual.fit(X_bool_manual, y)
    
    np.testing.assert_array_almost_equal(huber.coef_, huber_manual.coef_)
    np.testing.assert_almost_equal(huber.intercept_, huber_manual.intercept_)
    print("✓ Results consistent with manual conversion")
    
    # Test 3: Different boolean patterns
    test_patterns = [
        np.ones((20, 3), dtype=bool),  # All True
        np.zeros((20, 3), dtype=bool),  # All False
        np.random.rand(20, 3) > 0.5,   # Random pattern
    ]
    
    y_test = np.random.randn(20)
    for i, pattern in enumerate(test_patterns):
        huber_test = HuberRegressor()
        huber_test.fit(pattern, y_test)
        print(f"✓ Pattern {i+1} works")
    
    # Test 4: Sparse boolean arrays
    X_bool_sparse = sparse.csr_matrix(X_bool)
    huber_sparse = HuberRegressor()
    huber_sparse.fit(X_bool_sparse, y)
    
    # Results should be very similar (small numerical differences due to sparse representation)
    coef_diff = np.abs(huber.coef_ - huber_sparse.coef_).max()
    assert coef_diff < 1e-10
    print("✓ Sparse boolean arrays work")
    
    # Test 5: Edge cases
    # Single feature
    X_single = np.array([[True], [False], [True]], dtype=bool)
    y_single = np.array([1.0, 0.0, 1.0])
    huber_single = HuberRegressor()
    huber_single.fit(X_single, y_single)
    print("✓ Single feature works")
    
    # Large number of features
    X_large = np.random.rand(50, 100) > 0.5
    y_large = np.random.randn(50)
    huber_large = HuberRegressor()
    huber_large.fit(X_large, y_large)
    print("✓ Large number of features works")
    
    # Test 6: Comparison with LinearRegression behavior
    # For large epsilon, HuberRegressor should behave similarly to LinearRegression
    lr = LinearRegression()
    lr.fit(X_bool, y)
    
    huber_lr_like = HuberRegressor(alpha=0.0, epsilon=1e6)
    huber_lr_like.fit(X_bool, y)
    
    # Should be reasonably close
    coef_diff = np.abs(lr.coef_ - huber_lr_like.coef_).max()
    assert coef_diff < 0.1  # Allow some difference due to different algorithms
    print("✓ Behaves similarly to LinearRegression for large epsilon")
    
    # Test 7: Original array preservation
    X_bool_orig = X_bool.copy()
    huber_preserve = HuberRegressor()
    huber_preserve.fit(X_bool_orig, y)
    
    # Original array should be unchanged
    assert X_bool_orig.dtype == bool
    np.testing.assert_array_equal(X_bool_orig, X_bool)
    print("✓ Original array preserved")
    
    print("\nAll comprehensive tests passed! ✓")

if __name__ == "__main__":
    test_comprehensive_boolean_support()
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_comprehensive.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_comprehensive.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<output>Running comprehensive boolean input tests...</output>
<error>Traceback (most recent call last):
  File "test_comprehensive.py", line 96, in <module>
    test_comprehensive_boolean_support()
  File "test_comprehensive.py", line 21, in test_comprehensive_boolean_support
    print("\u2713 Basic functionality works")
UnicodeEncodeError: 'ascii' codec can't encode character '\u2713' in position 0: ordinal not in range(128)</error>
</function_results>

